Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,sell,other
2020-08-12,378.99,389.23,365.85,387.18,751848.7983,1597276799999,285872467.64409370,349082,378876.83493000,144127095.73059770,0
2020-08-13,387.18,431.49,376.59,424.54,1511330.7732,1597363199999,604810975.13185700,634978,786249.64387000,314657280.99639270,0
2020-08-14,424.54,444.71,417.05,438.11,1109670.94324,1597449599999,477180580.06183250,502635,551666.89650000,237162820.57687100,0
2020-08-15,438.12,442.94,427.02,432.32,681698.5971,1597535999999,296652970.48231940,351377,332354.72985000,144668622.34551780,0
2020-08-16,432.3,436.99,412.47,433.62,716666.25258,1597622399999,305445885.81667000,371807,345142.26171000,147116639.26333250,0
2020-08-17,433.61,446.0,420.37,430.89,868870.64996,1597708799999,375038999.50751650,443560,434882.89599000,187814884.66580410,0
2020-08-18,430.89,433.81,415.0,421.95,743254.57018,1597795199999,316635286.99292170,374074,356765.97549000,152053040.63348380,0
2020-08-19,421.92,426.75,393.25,407.46,978339.69221,1597881599999,400208683.34672710,455992,457547.57265000,187156985.82537450,0
2020-08-20,407.46,418.98,402.07,415.94,663555.73445,1597967999999,273292342.19034480,322537,336116.41655000,138426936.64111550,0
2020-08-21,415.94,418.68,385.1,387.97,860998.7256,1598054399999,347455883.45330630,414222,395087.31195000,159527686.50068960,0
2020-08-22,387.93,397.04,379.92,395.24,643235.76543,1598140799999,250069873.39723140,305450,315092.64001000,122564498.42421190,0
2020-08-23,395.23,396.95,383.15,390.71,445317.81989,1598227199999,173799978.03511140,222729,218347.50764000,85211118.00730040,0
2020-08-24,390.72,410.42,387.44,407.68,717403.81877,1598313599999,287991794.22058410,307676,374389.16218000,150318604.20706690,0
2020-08-25,407.68,409.06,370.0,382.93,970445.38395,1598399999999,375681480.18694300,411636,463076.75010000,179300083.72858850,0
2020-08-26,382.91,392.91,377.37,385.81,738690.7794,1598486399999,284504413.09361920,351141,372284.31302000,143413331.40317950,0
2020-08-27,385.81,397.1,371.48,383.27,877763.73658,1598572799999,336647752.29422450,392116,441967.74994000,169506712.89737500,0
2020-08-28,383.31,398.0,379.75,395.11,732601.46905,1598659199999,286555001.99418380,311832,376745.79555000,147371987.07353450,0
2020-08-29,395.1,405.69,391.88,398.65,659802.63344,1598745599999,263787683.02808370,300090,335970.72742000,134324057.77429140,0
2020-08-30,398.65,429.89,398.3,428.94,894979.71788,1598831999999,370467271.09903470,395838,454113.30749000,188019162.80121010,0
2020-08-31,428.94,439.0,418.04,433.79,1040748.68881,1598918399999,447866996.18511480,456201,521857.12047000,224568024.60673360,0
2020-09-01,433.8,488.84,429.03,475.4,1751354.57719,1599004799999,813662129.65048800,763508,869375.35063000,403711776.22557970,0
2020-09-02,475.4,481.39,420.0,439.5,1880642.46853,1599091199999,844475154.71608050,825133,930825.55373000,418025683.68122710,0
2020-09-03,439.5,450.7,372.0,381.4,2408569.34151,1599177599999,995567239.00840270,903066,1163309.47153000,481135153.40023240,0
2020-09-04,381.35,400.21,357.0,385.26,1806488.22474,1599263999999,696658932.11542750,744610,898001.98862000,346399148.75434910,0
2020-09-05,385.3,395.0,308.42,335.01,2777166.51389,1599350399999,967730464.90551640,1074986,1359142.30847000,474118503.45672320,0
2020-09-06,335.04,360.0,316.1,352.8,2017811.14721,1599436799999,691925087.39681090,852597,1001126.65908000,343097243.97381230,0
2020-09-07,352.85,358.51,323.0,353.59,1740618.42462,1599523199999,596754172.70084040,708066,875520.99803000,300098826.31230790,0
2020-09-08,353.59,356.58,325.38,337.39,1400246.82962,1599609599999,476444912.54463500,554846,683844.91475000,232727441.34534670,0
2020-09-09,337.41,359.0,330.51,350.85,879760.56255,1599695999999,304910633.80088960,381038,450864.78551000,156362634.92576610,0
2020-09-10,350.85,377.25,349.91,367.93,1134287.61137,1599782399999,416598205.66604800,512819,564874.99855000,207485762.51111200,0
2020-09-11,367.93,375.27,355.49,373.63,844017.59966,1599868799999,308822715.13365630,367615,423159.48329000,154876994.89740980,0
2020-09-12,373.62,388.57,364.73,387.78,766542.31635,1599955199999,287133871.24729080,318774,391980.78732000,146905887.14703520,0
2020-09-13,387.78,390.43,350.0,366.42,989195.69047,1600041599999,367969518.51348870,430236,471379.94130000,175392358.37933570,0
2020-09-14,366.43,384.64,355.73,377.12,1042059.62265,1600127999999,387238794.68097150,476828,520997.62714000,193631762.56564660,0
2020-09-15,377.12,382.47,362.34,364.06,883856.33005,1600214399999,328317009.56834610,405048,425660.93557000,158082601.83653550,0
2020-09-16,364.05,373.45,355.0,365.11,841709.98939,1600300799999,306622238.07155210,371665,401737.07122000,146390592.33280320,0
2020-09-17,365.04,394.14,363.3,389.36,1256300.411,1600387199999,479026710.89661470,505247,649410.54624000,247663754.94968120,0
2020-09-18,389.35,392.58,375.33,384.39,804194.47219,1600473599999,308748579.81603240,323159,390631.14787000,150003338.33482060,0
2020-09-19,384.4,388.72,377.0,385.25,570908.33553,1600559999999,218785730.14017850,230924,275383.50997000,105557594.25420930,0
2020-09-20,385.25,385.45,365.0,371.04,693164.40144,1600646399999,259700927.47821030,275295,339273.53425000,127111732.99106700,0
2020-09-21,371.04,376.8,331.0,340.36,1283946.03098,1600732799999,452134893.63405810,472560,614255.13337000,216255854.30576970,0
2020-09-22,340.31,346.91,335.34,344.21,842731.12878,1600819199999,288166815.51503700,286593,406238.87933000,138901899.75129510,0
2020-09-23,344.18,344.65,313.29,320.72,940904.49756,1600905599999,313808761.09043880,323226,451952.70895000,150859607.76494990,0
2020-09-24,320.72,353.1,316.67,348.97,1071705.09721,1600991999999,360708689.40437970,371450,541195.93188000,182260574.83696910,0
2020-09-25,348.97,358.0,337.58,351.92,860643.77924,1601078399999,298266918.80064850,310536,428498.41778000,148520979.71553270,0
2020-09-26,351.93,356.4,345.88,353.92,530879.20755,1601164799999,186812160.37543690,217834,265973.62355000,93597365.18627900,0
2020-09-27,353.95,362.14,347.24,357.49,569568.55041,1601251199999,202411362.68323290,230526,278104.49527000,98851342.51735050,0
2020-09-28,357.58,368.2,351.7,353.96,757758.4304,1601337599999,273063157.78999110,261317,365322.52821000,131705221.49365880,0
2020-09-29,353.91,360.63,350.45,359.79,585143.16892,1601423999999,208028826.48711650,214988,296028.84893000,105268925.80294570,0
2020-09-30,359.78,361.5,351.56,359.83,498943.23226,1601510399999,177784824.51781920,173910,258138.87585000,92021033.11709650,0
2020-10-01,359.83,370.45,345.51,352.85,758349.31959,1601596799999,271468849.79851160,288354,361455.09687000,129606992.62340270,0
2020-10-02,352.83,354.55,334.24,345.6,733571.84211,1601683199999,251829017.51948020,286023,359044.99342000,123230178.01440740,0
2020-10-03,345.6,351.0,343.7,345.95,303595.71901,1601769599999,105401893.35734360,136755,157899.99434000,54819449.94469700,0
2020-10-04,345.94,354.45,343.81,352.37,343932.91712,1601855999999,119961274.70065720,138736,168705.23259000,58850037.60413940,0
2020-10-05,352.34,356.1,348.54,353.62,376740.30692,1601942399999,132656713.04409390,145787,185554.40142000,65347144.97328110,0
2020-10-06,353.63,355.1,336.8,340.75,640063.26951,1602028799999,221765553.58680910,240812,311147.69014000,107797282.75783230,0
2020-10-07,340.8,342.85,332.18,341.58,541928.86376,1602115199999,183873686.39043150,195112,267972.41424000,90930067.04391160,0
2020-10-08,341.58,353.32,334.21,350.95,631794.8756,1602201599999,217322066.97802380,220053,332296.23857000,114406629.96863650,0
2020-10-09,350.94,368.33,347.32,365.02,650478.19338,1602287999999,232878561.88521360,241168,347090.04670000,124302113.23120810,0
2020-10-10,365.01,378.4,364.71,370.52,591005.32129,1602374399999,220607973.01227310,253825,299965.65391000,111977478.87854210,0
2020-10-11,370.51,377.6,368.87,374.16,373318.23779,1602460799999,139329772.54031670,164475,187969.33051000,70162446.92701300,0
2020-10-12,374.17,394.8,365.58,386.51,844422.65444,1602547199999,320587055.52979570,309500,427311.17538000,162322201.34325680,0
