Date,Open,High,Low,Close,Volume,close_time,volumes,orders,buy,buy,other
2019-10-28,9528.23,9902.1,9160.0,9205.14,80174.217323,1572307199999,759178942.94884192,681128,39754.68150100,376584590.21858095,0
2019-10-29,9204.45,9550.0,9072.0,9407.62,64158.462446,1572393599999,600611324.63569959,559589,32787.04917400,307062268.41991786,0
2019-10-30,9407.62,9409.84,9001.01,9154.72,55241.786434,1572479999999,506584830.03133233,524035,27416.56174800,251452283.20530460,0
2019-10-31,9154.02,9405.0,8913.0,9140.85,54376.024902,1572566399999,498152743.73480882,490183,27252.20353600,249802680.66380806,0
2019-11-01,9140.86,9279.0,9030.0,9231.61,43594.814115,1572652799999,398803069.00908462,478002,22843.60504200,209045155.88095699,0
2019-11-02,9231.4,9373.74,9186.21,9289.52,28923.060828,1572739199999,268119579.73009112,325421,15316.18786300,141991067.15333212,0
2019-11-03,9289.85,9362.57,9066.14,9194.71,27894.378279,1572825599999,256664259.66219141,326024,13611.80655800,125328511.00426772,0
2019-11-04,9196.46,9513.68,9115.84,9393.35,45894.456277,1572911999999,426792003.17490647,453749,24741.81592500,230142613.20752436,0
2019-11-05,9392.4,9454.95,9175.76,9308.66,45935.873665,1572998399999,428156963.07854693,492885,22809.23955800,212668961.37619617,0
2019-11-06,9307.73,9440.91,9250.01,9339.05,37336.170372,1573084799999,348607499.83121694,402997,18947.02412700,176929534.86037745,0
2019-11-07,9339.16,9375.0,9101.0,9216.2,39117.470853,1573171199999,361217475.05834649,401984,19603.52357200,181092296.04003776,0
2019-11-08,9214.0,9261.0,8696.0,8773.73,62107.289243,1573257599999,555589995.99358589,567331,30046.12929100,268900339.26312254,0
2019-11-09,8773.74,8880.0,8724.88,8809.41,29469.481405,1573343999999,259733491.82990895,326730,14990.42224600,132136096.26889738,0
2019-11-10,8809.18,9147.19,8750.0,9039.47,34422.029797,1573430399999,307316853.90375426,375946,17722.19709000,158219187.66195828,0
2019-11-11,9040.16,9072.32,8618.68,8733.27,44888.053545,1573516799999,394585996.32928712,415982,22111.94305700,194310323.85678739,0
2019-11-12,8733.36,8888.0,8567.6,8821.94,40366.629471,1573603199999,352675938.43059302,406765,20225.03456000,176773688.17197935,0
2019-11-13,8821.91,8844.99,8702.0,8777.12,26810.116918,1573689599999,235060554.12410157,281593,13524.99303500,118583622.59890504,0
2019-11-14,8777.54,8800.0,8582.6,8646.68,33468.468961,1573775999999,290104306.95303317,337019,16272.81678500,141092283.63703056,0
2019-11-15,8646.38,8790.0,8400.0,8471.73,46087.417751,1573862399999,394708981.31557231,423919,22568.29011700,193359510.76146770,0
2019-11-16,8471.62,8543.0,8400.0,8491.02,20902.299752,1573948799999,177222838.38564817,231473,10703.62978400,90759494.93371469,0
2019-11-17,8490.74,8635.0,8350.68,8502.4,27009.037082,1574035199999,229995700.81158423,259594,13607.51617900,115878483.61499645,0
2019-11-18,8502.87,8503.52,8060.0,8187.17,43017.69094,1574121599999,358706174.82521841,366263,20525.11692400,171255974.96099598,0
2019-11-19,8186.5,8218.63,8003.0,8133.64,43556.061025,1574207999999,353463792.04443395,357382,21816.72508400,177061624.17883486,0
2019-11-20,8133.83,8264.29,8038.4,8098.01,32466.23098,1574294399999,263387575.48592199,288843,16751.18645900,135913703.28376596,0
2019-11-21,8098.56,8134.73,7500.0,7627.74,58418.780261,1574380799999,455166676.27818021,430062,26902.36985100,209669250.00512216,0
2019-11-22,7627.79,7750.0,6790.0,7268.23,126603.140259,1574467199999,917881536.26208392,817604,60867.91218200,441369226.60627317,0
2019-11-23,7268.23,7344.48,7080.01,7311.57,50449.894755,1574553599999,364446217.37376043,414045,25882.63146600,187044325.06936933,0
2019-11-24,7311.1,7330.39,6861.0,6903.28,67890.206483,1574639999999,481922941.32697582,446014,33387.52869500,237048588.06349042,0
2019-11-25,6900.23,7377.69,6515.0,7109.57,119645.735197,1574726399999,831628458.30490691,679721,60533.39361300,421590444.06566384,0
2019-11-26,7109.99,7340.0,7017.48,7156.14,65722.39769,1574812799999,469602476.91268085,433933,33301.34994100,237985219.12113364,0
2019-11-27,7154.75,7655.0,6840.0,7508.52,92452.87349,1574899199999,671646609.16955084,582055,47058.02874400,342164140.18315736,0
2019-11-28,7507.9,7643.0,7360.0,7419.49,56933.981109,1574985599999,427572714.94560073,388953,28876.70895200,216954965.99168930,0
2019-11-29,7418.52,7850.0,7362.3,7739.68,60745.300873,1575071999999,463006956.68515143,412929,31576.88619000,240751084.86781706,0
2019-11-30,7740.99,7810.0,7441.0,7541.89,46989.433619,1575158399999,358749026.36075541,346506,23743.61033700,181318684.76790961,0
2019-12-01,7540.63,7541.85,7210.0,7390.89,60769.342313,1575244799999,446524917.20597040,420573,31120.00293200,228709227.47478201,0
2019-12-02,7391.5,7420.56,7151.1,7294.28,46330.25604,1575331199999,337889295.51018099,326881,24043.61639300,175417845.96777071,0
2019-12-03,7294.42,7400.0,7241.35,7292.71,33149.477487,1575417599999,242379261.10434754,265391,16639.29483700,121693871.29329204,0
2019-12-04,7292.71,7750.0,7067.0,7194.32,83147.149142,1575503999999,608623482.75992315,516158,41867.07805700,306621278.81212719,0
2019-12-05,7194.59,7485.0,7150.0,7389.0,59306.678855,1575590399999,434738864.78401241,430359,30794.87400900,225785929.45196422,0
2019-12-06,7389.0,7590.03,7305.0,7527.47,48189.087944,1575676799999,356905919.01555993,367854,25901.01433400,191894551.37719464,0
2019-12-07,7527.8,7619.62,7470.16,7488.21,31498.684173,1575763199999,237000924.85530462,263592,16179.18492200,121730405.77530764,0
2019-12-08,7487.31,7564.0,7374.86,7510.11,29856.897631,1575849599999,223314325.61846468,257514,15295.64625000,114410839.18893658,0
2019-12-09,7510.11,7650.0,7273.0,7338.64,46621.887493,1575935999999,347471155.48268330,359648,23733.12631700,176936408.77023645,0
2019-12-10,7338.64,7407.6,7157.1,7224.13,49723.76214,1576022399999,363127435.39551666,439637,24739.06415300,180700991.44760172,0
2019-12-11,7224.15,7275.5,7125.66,7210.0,30093.091944,1576108799999,217095653.86658926,268269,15475.53917200,111646214.45842433,0
2019-12-12,7210.0,7295.0,7080.3,7198.08,42288.600932,1576195199999,303657479.49269097,331414,20847.38402600,149736412.31992898,0
2019-12-13,7197.76,7309.05,7190.76,7258.48,27609.873795,1576281599999,199836160.23365225,252135,14299.03325600,103507284.73033177,0
2019-12-14,7257.37,7271.77,7012.0,7064.05,29561.985967,1576367999999,211004228.01585397,276819,14397.27374300,102799669.53690346,0
2019-12-15,7064.14,7200.3,7008.35,7118.59,26395.778137,1576454399999,187402764.56353110,262651,13778.88014600,97846824.91339022,0
2019-12-16,7119.6,7150.0,6836.0,6891.72,43863.993059,1576540799999,307508569.89251376,371202,21512.68837100,150883357.87501083,0
2019-12-17,6891.44,6942.21,6560.0,6623.82,53865.069929,1576627199999,364087469.82227792,454097,26510.45395100,179268531.68762408,0
2019-12-18,6623.84,7440.0,6435.0,7277.83,95636.651251,1576713599999,654057202.15882882,714073,49843.65081700,341707270.92404456,0
2019-12-19,7277.83,7380.0,7038.31,7150.3,55509.049075,1576799999999,397407677.05856507,439761,27456.52827200,196558003.60942764,0
2019-12-20,7151.31,7220.0,7079.5,7187.83,32132.069205,1576886399999,229842650.42149539,312766,16641.05268900,119044689.29161471,0
2019-12-21,7188.01,7190.58,7105.0,7132.75,19467.174028,1576972799999,139069157.08645769,212162,10119.76101200,72297064.99889134,0
2019-12-22,7131.59,7518.54,7122.47,7501.44,39137.45515,1577059199999,285577206.94063478,356612,20625.43673200,150554135.68143037,0
2019-12-23,7500.71,7695.38,7265.84,7317.09,68051.997203,1577145599999,510710431.76686034,530669,33444.24377200,251116788.72529315,0
2019-12-24,7317.3,7436.68,7157.04,7255.77,43629.494188,1577231999999,318428019.00090993,384678,21552.75120600,157326354.03834855,0
2019-12-25,7255.77,7271.77,7128.86,7204.63,27492.044323,1577318399999,198273303.10954585,289924,14433.03899100,104115922.41287489,0
2019-12-26,7205.01,7435.0,7157.12,7202.0,36259.761076,1577404799999,263289798.95618758,337695,18887.86566500,137178762.78933651,0
2019-12-27,7202.0,7275.86,7076.42,7254.74,33642.701861,1577491199999,242214722.72289035,297262,16882.39676800,121593559.33506629,0
2019-12-28,7254.77,7365.01,7238.67,7316.14,26848.982199,1577577599999,196322192.43800189,272607,13894.47624200,101598406.02770426,0
2019-12-29,7315.36,7528.45,7288.0,7388.24,31387.106085,1577663999999,231731575.82821695,283213,15999.77782800,118139507.92862746,0
2019-12-30,7388.43,7408.24,7220.0,7246.0,29605.911782,1577750399999,216508875.51767525,279033,13768.25666400,100676879.90295008,0
2019-12-31,7246.0,7320.0,7145.01,7195.23,25954.453533,1577836799999,187518399.34504001,251976,12595.93034700,91036201.13783441,0
2020-01-01,7195.24,7255.0,7175.15,7200.85,16792.388165,1577923199999,121214452.11606228,194010,8946.95553500,64597785.21233434,0
2020-01-02,7200.77,7212.5,6924.74,6965.71,31951.483932,1578009599999,225982341.30114030,302667,15141.61134000,107060829.07806464,0
2020-01-03,6965.49,7405.0,6871.04,7344.96,68428.500451,1578095999999,495098582.96203543,519854,35595.49627300,257713113.85172859,0
2020-01-04,7345.0,7404.0,7272.21,7354.11,29987.974977,1578182399999,219874240.93994811,279370,16369.38224800,120035111.72407165,0
2020-01-05,7354.19,7495.0,7318.0,7358.75,38331.085604,1578268799999,284848683.78917621,329209,19455.36956400,144600094.38965074,0
2020-01-06,7357.64,7795.34,7346.76,7758.0,54635.695316,1578355199999,413330481.22604919,449937,28853.76777000,218411610.65942464,0
2020-01-07,7758.9,8207.68,7723.71,8145.28,91171.684661,1578441599999,724202791.14296263,685315,46192.11154900,366866967.61393177,0
2020-01-08,8145.92,8455.0,7870.0,8055.98,112622.64264,1578527999999,926410232.60450582,830375,55071.10951400,453284250.45453957,0
2020-01-09,8054.72,8055.96,7750.0,7817.76,64239.51983,1578614399999,507258250.47487964,478800,31645.75922100,249899679.33440103,0
2020-01-10,7817.74,8199.0,7672.0,8197.02,82406.777448,1578700799999,652774220.38843703,606101,42361.75530700,335845385.67483303,0
2020-01-11,8198.86,8286.34,8003.16,8020.01,54810.032667,1578787199999,445034349.56470204,469131,27916.12497400,226716001.44288607,0
2020-01-12,8020.01,8197.0,7960.0,8184.98,38131.494336,1578873599999,309351920.45885002,350662,19718.54109600,159972663.99291870,0
2020-01-13,8184.97,8196.0,8055.89,8110.34,31159.755683,1578959999999,252656965.35815013,289144,15215.22650100,123407351.91807934,0
2020-01-14,8110.34,8880.0,8105.54,8810.01,120399.126742,1579046399999,1032735180.86587384,915328,62492.09667600,536081638.05418570,0
2020-01-15,8814.64,8916.48,8564.0,8821.41,84816.297606,1579132799999,743712237.27908164,764048,42493.55102600,372770745.17929917,0
2020-01-16,8820.01,8859.81,8586.0,8720.01,51991.074284,1579219199999,451752380.28108111,543064,25996.30135000,225914888.37777233,0
2020-01-17,8720.15,9041.65,8672.44,8913.28,70897.737377,1579305599999,629568740.70700897,676403,36139.80884500,320997160.95891669,0
2020-01-18,8913.27,8988.88,8806.38,8915.96,38294.746545,1579391999999,340852837.91608031,458182,19421.29531300,172895403.23974317,0
2020-01-19,8915.09,9198.98,8466.0,8701.7,70676.889259,1579478399999,623950864.27629280,615665,33655.94324100,297282818.09315907,0
2020-01-20,8701.72,8746.99,8521.28,8642.35,38896.639746,1579564799999,336447837.00180591,385006,19453.86378200,168293007.48754648,0
2020-01-21,8642.35,8789.0,8488.0,8736.03,36494.687659,1579651199999,316056704.98473800,365621,18731.87163700,162303157.94279355,0
2020-01-22,8736.04,8818.0,8590.0,8682.36,29080.557138,1579737599999,252638888.21492550,317424,14477.15751200,125794389.99554266,0
2020-01-23,8682.77,8691.81,8306.39,8404.52,48165.944597,1579823999999,407428808.67533703,464805,23287.71244400,196965082.04041370,0
2020-01-24,8404.52,8528.02,8238.0,8439.0,41687.529529,1579910399999,349874174.79003938,407271,21293.48958600,178752179.11477745,0
2020-01-25,8438.99,8451.26,8254.9,8340.58,25521.157932,1579996799999,212869245.63589778,283118,13076.75278600,109098245.22427255,0
2020-01-26,8340.01,8618.13,8293.66,8615.0,31130.485164,1580083199999,263941925.27299900,332612,15797.91126700,133936210.14356350,0
2020-01-27,8614.39,9000.0,8535.0,8907.57,53973.542996,1580169599999,473194952.80446884,514196,28592.32652100,250794158.80919072,0
2020-01-28,8907.57,9400.0,8862.4,9374.21,74584.853765,1580255999999,676593159.48233962,616678,38852.36324600,352558461.21538207,0
2020-01-29,9375.34,9449.24,9216.0,9301.53,53864.065122,1580342399999,503188568.83635783,492545,26615.65132900,248688826.41119043,0
2020-01-30,9301.57,9578.0,9204.44,9513.21,60626.744259,1580428799999,569652869.81968368,529570,30852.55545000,290043577.43928681,0
2020-01-31,9511.52,9530.22,9210.01,9352.89,45552.022352,1580515199999,425779010.40653666,428547,22482.47089900,210150300.22227438,0
2020-02-01,9351.71,9464.53,9281.0,9384.61,28578.067354,1580601599999,268137739.99333750,334972,14679.12630500,137764121.89168733,0
2020-02-02,9384.41,9477.03,9120.0,9331.51,45690.91254,1580687999999,428064088.69046830,446558,22588.40606000,211808205.79156946,0
2020-02-03,9331.59,9618.79,9234.0,9292.24,50892.133451,1580774399999,476379993.49247244,492124,24781.39769600,232065946.53854197,0
2020-02-04,9291.35,9350.0,9093.01,9197.02,53308.175266,1580860799999,491136137.21076251,528930,26103.43230700,240571508.24015159,0
2020-02-05,9197.02,9744.45,9177.22,9612.04,64870.415615,1580947199999,613540574.78183120,661758,35375.60520200,334620486.13736696,0
2020-02-06,9612.03,9862.57,9526.35,9772.0,64949.706588,1581033599999,631245079.82238119,682179,32143.45464700,312506614.38662455,0
2020-02-07,9772.0,9885.0,9730.0,9813.73,43966.114632,1581119999999,430744860.18143928,582249,22733.98818600,222761439.95578878,0
2020-02-08,9813.87,9940.0,9667.11,9895.05,43600.843666,1581206399999,427781790.20081596,514573,22664.38183700,222438123.84668740,0
2020-02-09,9895.04,10166.0,9880.75,10151.75,43408.475616,1581292799999,437441704.90539635,536848,22408.27732700,225799470.00274661,0
2020-02-10,10151.72,10188.0,9756.0,9851.83,59573.084619,1581379199999,590091358.44290697,690308,28618.88324500,283509329.43681316,0
2020-02-11,9851.74,10323.59,9700.0,10223.08,62422.395224,1581465599999,624970415.40547413,710170,31905.31642000,319373572.87250502,0
2020-02-12,10223.08,10450.0,10223.08,10326.46,61008.06393,1581551999999,629756037.51607864,857655,31141.80770000,321525481.54140180,0
2020-02-13,10325.33,10500.0,10080.0,10229.63,79344.358759,1581638399999,815507473.73536100,932802,38475.27254800,395629173.03862326,0
2020-02-14,10227.78,10381.56,10111.37,10344.36,47038.480173,1581724799999,482455622.00362595,622310,23697.00549300,243079257.30551489,0
2020-02-15,10344.36,10375.0,9801.0,9904.72,57657.202947,1581811199999,580845331.17478468,739781,26758.58032300,269731775.50315572,0
2020-02-16,9904.46,10050.0,9638.12,9917.27,60023.999537,1581897599999,592584876.90408609,708070,29406.13683900,290482773.25193714,0
2020-02-17,9910.7,9964.16,9452.67,9706.0,70261.011901,1581983999999,680009637.61599533,778058,33221.83924100,321724146.09734819,0
2020-02-18,9706.0,10250.0,9576.01,10164.71,70604.124019,1582070399999,696870122.81260796,723413,37303.99632600,368380176.64872573,0
2020-02-19,10164.78,10250.0,9350.0,9593.79,55162.586895,1582156799999,547679966.92922570,588760,25457.91648000,253188749.12823528,0
2020-02-20,9594.65,9699.0,9400.0,9596.42,60152.342914,1582243199999,576020107.46260181,667387,29843.20887500,285816414.87816031,0
2020-02-21,9597.21,9755.51,9550.21,9677.05,42181.554524,1582329599999,408286949.80352921,470599,21645.26761400,209532434.57633311,0
